Kürzel,/thyssenkrupp-aktie,/thyssenkrupp-aktie
Datum,ThyssenKrupp,ThyssenKrupp
20.04.20,20.04.20,"5,738"
17.04.20,17.04.20,"5,89"
16.04.20,16.04.20,"5,392"
15.04.20,15.04.20,"5,332"
14.04.20,14.04.20,"6,09"
09.04.20,09.04.20,"5,80"
08.04.20,08.04.20,"5,47"
07.04.20,07.04.20,"5,444"
06.04.20,06.04.20,"4,91"
03.04.20,03.04.20,"4,275"
02.04.20,02.04.20,"4,599"
01.04.20,01.04.20,"4,588"
31.03.20,31.03.20,"4,768"
30.03.20,30.03.20,"4,635"
27.03.20,27.03.20,"4,653"
26.03.20,26.03.20,"5,082"
25.03.20,25.03.20,"5,126"
24.03.20,24.03.20,"4,931"
23.03.20,23.03.20,"3,90"
20.03.20,20.03.20,"3,806"
19.03.20,19.03.20,"3,55"
18.03.20,18.03.20,"3,608"
17.03.20,17.03.20,"3,739"
16.03.20,16.03.20,"4,104"
13.03.20,13.03.20,"4,673"
12.03.20,12.03.20,"4,785"
11.03.20,11.03.20,"5,854"
10.03.20,10.03.20,"6,044"
09.03.20,09.03.20,"5,972"
06.03.20,06.03.20,"6,944"
05.03.20,05.03.20,"7,26"
04.03.20,04.03.20,"7,856"
03.03.20,03.03.20,"8,15"
02.03.20,02.03.20,"8,522"
28.02.20,28.02.20,"8,702"
27.02.20,27.02.20,"9,164"
26.02.20,26.02.20,"9,25"
25.02.20,25.02.20,"9,272"
24.02.20,24.02.20,"9,566"
21.02.20,21.02.20,"9,842"
20.02.20,20.02.20,"9,806"
19.02.20,19.02.20,"10,04"
18.02.20,18.02.20,"10,25"
17.02.20,17.02.20,"10,85"
14.02.20,14.02.20,"11,19"
13.02.20,13.02.20,"11,155"
12.02.20,12.02.20,"11,13"
11.02.20,11.02.20,"11,125"
10.02.20,10.02.20,"10,995"
07.02.20,07.02.20,"10,915"
06.02.20,06.02.20,"11,225"
05.02.20,05.02.20,"10,93"
04.02.20,04.02.20,"10,85"
03.02.20,03.02.20,"10,595"
31.01.20,31.01.20,"11,165"
30.01.20,30.01.20,"11,705"
29.01.20,29.01.20,"11,735"
28.01.20,28.01.20,"11,75"
27.01.20,27.01.20,"11,16"
24.01.20,24.01.20,"11,315"
23.01.20,23.01.20,"11,15"
22.01.20,22.01.20,"11,48"
21.01.20,21.01.20,"11,755"
20.01.20,20.01.20,"11,99"
17.01.20,17.01.20,"11,995"
16.01.20,16.01.20,"12,055"
15.01.20,15.01.20,"11,91"
14.01.20,14.01.20,"12,005"
13.01.20,13.01.20,"12,145"
10.01.20,10.01.20,"11,87"
09.01.20,09.01.20,"12,15"
08.01.20,08.01.20,"12,10"
07.01.20,07.01.20,"12,07"
06.01.20,06.01.20,"12,04"
03.01.20,03.01.20,"12,21"
02.01.20,02.01.20,"12,26"
30.12.19,30.12.19,"12,04"
27.12.19,27.12.19,"12,06"
23.12.19,23.12.19,"12,115"
20.12.19,20.12.19,"12,015"
19.12.19,19.12.19,"12,11"
18.12.19,18.12.19,"11,98"
17.12.19,17.12.19,"12,035"
16.12.19,16.12.19,"11,935"
13.12.19,13.12.19,"11,645"
12.12.19,12.12.19,"11,62"
11.12.19,11.12.19,"11,395"
10.12.19,10.12.19,"11,36"
09.12.19,09.12.19,"11,475"
06.12.19,06.12.19,"11,565"
05.12.19,05.12.19,"11,35"
04.12.19,04.12.19,"11,345"
03.12.19,03.12.19,"11,13"
02.12.19,02.12.19,"11,24"
29.11.19,29.11.19,"11,38"
28.11.19,28.11.19,"11,36"
27.11.19,27.11.19,"11,47"
26.11.19,26.11.19,"11,665"
25.11.19,25.11.19,"11,40"
22.11.19,22.11.19,"11,945"
21.11.19,21.11.19,"11,67"
20.11.19,20.11.19,"13,51"
19.11.19,19.11.19,"13,34"
18.11.19,18.11.19,"13,07"
15.11.19,15.11.19,"13,205"
14.11.19,14.11.19,"13,14"
13.11.19,13.11.19,"13,365"
12.11.19,12.11.19,"13,395"
11.11.19,11.11.19,"13,335"
08.11.19,08.11.19,"13,605"
07.11.19,07.11.19,"13,82"
06.11.19,06.11.19,"13,52"
05.11.19,05.11.19,"13,78"
04.11.19,04.11.19,"13,695"
01.11.19,01.11.19,"13,325"
31.10.19,31.10.19,"12,795"
30.10.19,30.10.19,"13,005"
29.10.19,29.10.19,"13,39"
28.10.19,28.10.19,"13,31"
25.10.19,25.10.19,"13,375"
24.10.19,24.10.19,"13,30"
23.10.19,23.10.19,"13,47"
22.10.19,22.10.19,"13,29"
21.10.19,21.10.19,"13,22"
18.10.19,18.10.19,"12,995"
17.10.19,17.10.19,"12,94"
16.10.19,16.10.19,"13,19"
15.10.19,15.10.19,"12,605"
14.10.19,14.10.19,"12,56"
11.10.19,11.10.19,"12,605"
10.10.19,10.10.19,"12,47"
09.10.19,09.10.19,"12,285"
08.10.19,08.10.19,"12,385"
07.10.19,07.10.19,"12,435"
04.10.19,04.10.19,"12,34"
02.10.19,02.10.19,"12,34"
01.10.19,01.10.19,"12,56"
30.09.19,30.09.19,"12,705"
27.09.19,27.09.19,"12,87"
26.09.19,26.09.19,"12,585"
25.09.19,25.09.19,"12,505"
24.09.19,24.09.19,"12,475"
23.09.19,23.09.19,"12,44"
20.09.19,20.09.19,"12,68"
19.09.19,19.09.19,"12,895"
18.09.19,18.09.19,"12,92"
17.09.19,17.09.19,"12,89"
16.09.19,16.09.19,"12,89"
13.09.19,13.09.19,"13,11"
12.09.19,12.09.19,"12,845"
11.09.19,11.09.19,"12,705"
10.09.19,10.09.19,"12,765"
09.09.19,09.09.19,"12,35"
06.09.19,06.09.19,"12,225"
05.09.19,05.09.19,"11,68"
04.09.19,04.09.19,"10,995"
03.09.19,03.09.19,"10,625"
02.09.19,02.09.19,"11,045"
30.08.19,30.08.19,"11,115"
29.08.19,29.08.19,"11,00"
28.08.19,28.08.19,"10,64"
27.08.19,27.08.19,"10,57"
26.08.19,26.08.19,"10,485"
23.08.19,23.08.19,"10,345"
22.08.19,22.08.19,"10,42"
21.08.19,21.08.19,"9,868"
20.08.19,20.08.19,"9,708"
19.08.19,19.08.19,"9,716"
16.08.19,16.08.19,"9,524"
15.08.19,15.08.19,"9,41"
14.08.19,14.08.19,"9,618"
13.08.19,13.08.19,"10,035"
12.08.19,12.08.19,"9,95"
09.08.19,09.08.19,"10,255"
08.08.19,08.08.19,"10,965"
07.08.19,07.08.19,"10,51"
06.08.19,06.08.19,"10,565"
05.08.19,05.08.19,"10,66"
02.08.19,02.08.19,"10,99"
01.08.19,01.08.19,"11,625"
31.07.19,31.07.19,"11,69"
30.07.19,30.07.19,"11,53"
29.07.19,29.07.19,"11,665"
26.07.19,26.07.19,"11,60"
25.07.19,25.07.19,"11,72"
24.07.19,24.07.19,"11,97"
23.07.19,23.07.19,"11,62"
22.07.19,22.07.19,"11,27"
19.07.19,19.07.19,"11,325"
18.07.19,18.07.19,"11,24"
17.07.19,17.07.19,"11,44"
16.07.19,16.07.19,"11,595"
15.07.19,15.07.19,"11,465"
12.07.19,12.07.19,"11,48"
11.07.19,11.07.19,"11,48"
10.07.19,10.07.19,"11,585"
09.07.19,09.07.19,"11,70"
08.07.19,08.07.19,"12,195"
05.07.19,05.07.19,"12,185"
04.07.19,04.07.19,"12,355"
03.07.19,03.07.19,"12,625"
02.07.19,02.07.19,"12,595"
01.07.19,01.07.19,"12,90"
28.06.19,28.06.19,"12,825"
27.06.19,27.06.19,"12,675"
26.06.19,26.06.19,"12,50"
25.06.19,25.06.19,"11,695"
24.06.19,24.06.19,"11,745"
21.06.19,21.06.19,"12,045"
20.06.19,20.06.19,"12,055"
19.06.19,19.06.19,"12,15"
18.06.19,18.06.19,"12,375"
17.06.19,17.06.19,"11,775"
14.06.19,14.06.19,"11,77"
13.06.19,13.06.19,"12,075"
12.06.19,12.06.19,"12,085"
11.06.19,11.06.19,"12,225"
07.06.19,07.06.19,"11,67"
06.06.19,06.06.19,"11,59"
05.06.19,05.06.19,"11,835"
04.06.19,04.06.19,"12,135"
03.06.19,03.06.19,"11,61"
31.05.19,31.05.19,"11,335"
30.05.19,30.05.19,"11,77"
29.05.19,29.05.19,"11,70"
28.05.19,28.05.19,"12,10"
27.05.19,27.05.19,"12,06"
24.05.19,24.05.19,"11,95"
23.05.19,23.05.19,"12,185"
22.05.19,22.05.19,"12,80"
21.05.19,21.05.19,"12,695"
20.05.19,20.05.19,"12,115"
17.05.19,17.05.19,"12,505"
16.05.19,16.05.19,"13,245"
15.05.19,15.05.19,"12,11"
14.05.19,14.05.19,"12,74"
13.05.19,13.05.19,"13,15"
10.05.19,10.05.19,"14,40"
09.05.19,09.05.19,"11,235"
08.05.19,08.05.19,"11,60"
07.05.19,07.05.19,"11,565"
06.05.19,06.05.19,"11,835"
03.05.19,03.05.19,"12,27"
02.05.19,02.05.19,"12,39"
30.04.19,30.04.19,"12,535"
29.04.19,29.04.19,"12,57"
26.04.19,26.04.19,"12,84"
25.04.19,25.04.19,"13,05"
24.04.19,24.04.19,"12,86"
23.04.19,23.04.19,"13,08"
18.04.19,18.04.19,"13,62"
17.04.19,17.04.19,"13,65"
16.04.19,16.04.19,"13,175"
15.04.19,15.04.19,"12,88"
12.04.19,12.04.19,"12,65"
11.04.19,11.04.19,"12,74"
10.04.19,10.04.19,"12,825"
09.04.19,09.04.19,"12,73"
08.04.19,08.04.19,"12,895"
05.04.19,05.04.19,"13,15"
04.04.19,04.04.19,"13,165"
03.04.19,03.04.19,"13,335"
02.04.19,02.04.19,"13,025"
01.04.19,01.04.19,"12,95"
29.03.19,29.03.19,"12,245"
28.03.19,28.03.19,"11,80"
27.03.19,27.03.19,"12,11"
26.03.19,26.03.19,"12,145"
25.03.19,25.03.19,"12,255"
22.03.19,22.03.19,"12,325"
21.03.19,21.03.19,"12,775"
20.03.19,20.03.19,"12,945"
19.03.19,19.03.19,"12,995"
18.03.19,18.03.19,"12,915"
15.03.19,15.03.19,"12,56"
14.03.19,14.03.19,"12,69"
13.03.19,13.03.19,"12,445"
12.03.19,12.03.19,"12,345"
11.03.19,11.03.19,"12,30"
08.03.19,08.03.19,"12,285"
07.03.19,07.03.19,"12,61"
06.03.19,06.03.19,"13,055"
05.03.19,05.03.19,"13,155"
04.03.19,04.03.19,"13,215"
01.03.19,01.03.19,"13,24"
28.02.19,28.02.19,"13,15"
27.02.19,27.02.19,"13,32"
26.02.19,26.02.19,"13,54"
25.02.19,25.02.19,"13,705"
22.02.19,22.02.19,"13,41"
21.02.19,21.02.19,"13,185"
20.02.19,20.02.19,"13,28"
19.02.19,19.02.19,"13,16"
18.02.19,18.02.19,"13,035"
15.02.19,15.02.19,"13,26"
14.02.19,14.02.19,"13,30"
13.02.19,13.02.19,"13,69"
12.02.19,12.02.19,"14,34"
11.02.19,11.02.19,"14,625"
08.02.19,08.02.19,"14,42"
07.02.19,07.02.19,"15,09"
06.02.19,06.02.19,"15,90"
05.02.19,05.02.19,"15,52"
04.02.19,04.02.19,"15,555"
01.02.19,01.02.19,"15,885"
31.01.19,31.01.19,"15,47"
30.01.19,30.01.19,"15,41"
29.01.19,29.01.19,"15,40"
28.01.19,28.01.19,"15,535"
25.01.19,25.01.19,"15,43"
24.01.19,24.01.19,"15,285"
23.01.19,23.01.19,"15,26"
22.01.19,22.01.19,"15,525"
21.01.19,21.01.19,"15,89"
18.01.19,18.01.19,"15,98"
17.01.19,17.01.19,"15,695"
16.01.19,16.01.19,"15,86"
15.01.19,15.01.19,"16,11"
14.01.19,14.01.19,"16,11"
11.01.19,11.01.19,"16,185"
10.01.19,10.01.19,"16,27"
09.01.19,09.01.19,"16,155"
08.01.19,08.01.19,"15,84"
07.01.19,07.01.19,"15,555"
04.01.19,04.01.19,"15,37"
03.01.19,03.01.19,"14,61"
02.01.19,02.01.19,"14,905"
28.12.18,28.12.18,"14,98"
27.12.18,27.12.18,"14,81"
21.12.18,21.12.18,"15,275"
20.12.18,20.12.18,"15,50"
19.12.18,19.12.18,"16,08"
18.12.18,18.12.18,"15,79"
17.12.18,17.12.18,"15,615"
14.12.18,14.12.18,"15,605"
13.12.18,13.12.18,"15,755"
12.12.18,12.12.18,"15,80"
11.12.18,11.12.18,"15,725"
10.12.18,10.12.18,"15,48"
07.12.18,07.12.18,"15,92"
06.12.18,06.12.18,"15,98"
05.12.18,05.12.18,"16,70"
04.12.18,04.12.18,"16,905"
03.12.18,03.12.18,"17,13"
30.11.18,30.11.18,"16,495"
29.11.18,29.11.18,"16,73"
28.11.18,28.11.18,"16,665"
27.11.18,27.11.18,"16,445"
26.11.18,26.11.18,"16,595"
23.11.18,23.11.18,"16,265"
22.11.18,22.11.18,"16,20"
21.11.18,21.11.18,"16,14"
20.11.18,20.11.18,"15,75"
19.11.18,19.11.18,"16,095"
16.11.18,16.11.18,"16,405"
15.11.18,15.11.18,"16,515"
14.11.18,14.11.18,"16,66"
13.11.18,13.11.18,"16,785"
12.11.18,12.11.18,"16,80"
09.11.18,09.11.18,"17,33"
08.11.18,08.11.18,"19,06"
07.11.18,07.11.18,"19,235"
06.11.18,06.11.18,"19,08"
05.11.18,05.11.18,"19,095"
02.11.18,02.11.18,"19,165"
01.11.18,01.11.18,"18,825"
31.10.18,31.10.18,"18,575"
30.10.18,30.10.18,"18,12"
29.10.18,29.10.18,"18,28"
26.10.18,26.10.18,"17,895"
25.10.18,25.10.18,"18,245"
24.10.18,24.10.18,"18,00"
23.10.18,23.10.18,"18,42"
22.10.18,22.10.18,"18,97"
19.10.18,19.10.18,"19,34"
18.10.18,18.10.18,"20,15"
17.10.18,17.10.18,"20,33"
16.10.18,16.10.18,"20,09"
15.10.18,15.10.18,"19,985"
12.10.18,12.10.18,"20,10"
11.10.18,11.10.18,"19,92"
10.10.18,10.10.18,"20,56"
09.10.18,09.10.18,"20,86"
08.10.18,08.10.18,"20,67"
05.10.18,05.10.18,"20,60"
04.10.18,04.10.18,"20,75"
02.10.18,02.10.18,"20,90"
01.10.18,01.10.18,"20,76"
28.09.18,28.09.18,"21,74"
27.09.18,27.09.18,"22,06"
26.09.18,26.09.18,"20,07"
25.09.18,25.09.18,"20,54"
24.09.18,24.09.18,"20,27"
21.09.18,21.09.18,"20,46"
20.09.18,20.09.18,"20,32"
19.09.18,19.09.18,"20,18"
18.09.18,18.09.18,"19,68"
17.09.18,17.09.18,"19,245"
14.09.18,14.09.18,"18,965"
13.09.18,13.09.18,"18,93"
12.09.18,12.09.18,"19,315"
11.09.18,11.09.18,"19,135"
10.09.18,10.09.18,"19,165"
07.09.18,07.09.18,"18,86"
06.09.18,06.09.18,"19,365"
05.09.18,05.09.18,"19,61"
04.09.18,04.09.18,"19,87"
03.09.18,03.09.18,"19,755"
31.08.18,31.08.18,"19,91"
30.08.18,30.08.18,"20,13"
29.08.18,29.08.18,"20,14"
28.08.18,28.08.18,"20,20"
27.08.18,27.08.18,"20,20"
24.08.18,24.08.18,"19,85"
23.08.18,23.08.18,"19,665"
22.08.18,22.08.18,"19,74"
21.08.18,21.08.18,"19,90"
20.08.18,20.08.18,"19,69"
17.08.18,17.08.18,"19,33"
16.08.18,16.08.18,"19,68"
15.08.18,15.08.18,"19,43"
14.08.18,14.08.18,"20,21"
13.08.18,13.08.18,"20,30"
10.08.18,10.08.18,"20,46"
09.08.18,09.08.18,"21,09"
08.08.18,08.08.18,"21,46"
07.08.18,07.08.18,"21,56"
06.08.18,06.08.18,"21,67"
03.08.18,03.08.18,"21,87"
02.08.18,02.08.18,"22,42"
01.08.18,01.08.18,"22,67"
31.07.18,31.07.18,"22,82"
30.07.18,30.07.18,"22,92"
27.07.18,27.07.18,"23,37"
26.07.18,26.07.18,"23,45"
25.07.18,25.07.18,"22,92"
24.07.18,24.07.18,"23,19"
23.07.18,23.07.18,"22,68"
20.07.18,20.07.18,"21,85"
19.07.18,19.07.18,"22,54"
18.07.18,18.07.18,"22,87"
17.07.18,17.07.18,"22,48"
16.07.18,16.07.18,"20,60"
13.07.18,13.07.18,"20,62"
12.07.18,12.07.18,"20,90"
11.07.18,11.07.18,"20,63"
10.07.18,10.07.18,"21,55"
09.07.18,09.07.18,"21,76"
06.07.18,06.07.18,"22,01"
05.07.18,05.07.18,"21,49"
04.07.18,04.07.18,"20,94"
03.07.18,03.07.18,"20,84"
02.07.18,02.07.18,"20,62"
29.06.18,29.06.18,"20,82"
28.06.18,28.06.18,"20,60"
27.06.18,27.06.18,"20,96"
26.06.18,26.06.18,"20,22"
25.06.18,25.06.18,"20,77"
22.06.18,22.06.18,"21,48"
21.06.18,21.06.18,"21,65"
20.06.18,20.06.18,"22,07"
19.06.18,19.06.18,"22,39"
18.06.18,18.06.18,"22,90"
15.06.18,15.06.18,"23,32"
14.06.18,14.06.18,"23,69"
13.06.18,13.06.18,"23,78"
12.06.18,12.06.18,"23,33"
11.06.18,11.06.18,"23,46"
08.06.18,08.06.18,"23,36"
07.06.18,07.06.18,"23,89"
06.06.18,06.06.18,"23,72"
05.06.18,05.06.18,"23,21"
04.06.18,04.06.18,"22,97"
01.06.18,01.06.18,"23,12"
31.05.18,31.05.18,"22,57"
30.05.18,30.05.18,"22,86"
29.05.18,29.05.18,"22,84"
28.05.18,28.05.18,"22,73"
25.05.18,25.05.18,"23,08"
24.05.18,24.05.18,"23,01"
23.05.18,23.05.18,"23,08"
22.05.18,22.05.18,"23,62"
18.05.18,18.05.18,"21,56"
17.05.18,17.05.18,"21,53"
16.05.18,16.05.18,"21,49"
15.05.18,15.05.18,"21,75"
14.05.18,14.05.18,"23,25"
11.05.18,11.05.18,"23,21"
10.05.18,10.05.18,"22,89"
09.05.18,09.05.18,"22,82"
08.05.18,08.05.18,"22,55"
07.05.18,07.05.18,"22,40"
04.05.18,04.05.18,"21,94"
03.05.18,03.05.18,"21,65"
02.05.18,02.05.18,"21,94"
30.04.18,30.04.18,"21,60"
27.04.18,27.04.18,"22,10"
26.04.18,26.04.18,"21,89"
25.04.18,25.04.18,"22,18"
24.04.18,24.04.18,"22,69"
23.04.18,23.04.18,"22,61"
20.04.18,20.04.18,"22,71"
19.04.18,19.04.18,"22,79"
18.04.18,18.04.18,"23,04"
17.04.18,17.04.18,"22,72"
16.04.18,16.04.18,"22,18"
13.04.18,13.04.18,"22,34"
12.04.18,12.04.18,"22,13"
11.04.18,11.04.18,"21,94"
10.04.18,10.04.18,"22,16"
09.04.18,09.04.18,"21,68"
06.04.18,06.04.18,"21,64"
05.04.18,05.04.18,"21,92"
04.04.18,04.04.18,"21,01"
03.04.18,03.04.18,"21,31"
29.03.18,29.03.18,"21,19"
28.03.18,28.03.18,"21,25"
27.03.18,27.03.18,"21,54"
26.03.18,26.03.18,"21,10"
23.03.18,23.03.18,"21,16"
22.03.18,22.03.18,"21,82"
21.03.18,21.03.18,"22,16"
20.03.18,20.03.18,"21,79"
19.03.18,19.03.18,"21,66"
16.03.18,16.03.18,"21,85"
15.03.18,15.03.18,"21,81"
14.03.18,14.03.18,"21,59"
13.03.18,13.03.18,"21,38"
12.03.18,12.03.18,"21,53"
09.03.18,09.03.18,"21,66"
08.03.18,08.03.18,"21,53"
07.03.18,07.03.18,"21,54"
06.03.18,06.03.18,"21,34"
05.03.18,05.03.18,"21,05"
02.03.18,02.03.18,"20,93"
01.03.18,01.03.18,"21,82"
28.02.18,28.02.18,"22,32"
27.02.18,27.02.18,"22,30"
26.02.18,26.02.18,"22,48"
23.02.18,23.02.18,"22,68"
22.02.18,22.02.18,"22,79"
21.02.18,21.02.18,"22,88"
20.02.18,20.02.18,"23,04"
19.02.18,19.02.18,"22,73"
16.02.18,16.02.18,"22,85"
15.02.18,15.02.18,"22,79"
14.02.18,14.02.18,"22,94"
13.02.18,13.02.18,"23,10"
12.02.18,12.02.18,"23,21"
09.02.18,09.02.18,"22,98"
08.02.18,08.02.18,"23,25"
07.02.18,07.02.18,"24,03"
06.02.18,06.02.18,"23,77"
05.02.18,05.02.18,"24,64"
02.02.18,02.02.18,"24,52"
01.02.18,01.02.18,"24,90"
31.01.18,31.01.18,"25,34"
30.01.18,30.01.18,"25,70"
29.01.18,29.01.18,"26,13"
26.01.18,26.01.18,"26,41"
25.01.18,25.01.18,"25,74"
24.01.18,24.01.18,"25,84"
23.01.18,23.01.18,"26,01"
22.01.18,22.01.18,"25,97"
19.01.18,19.01.18,"26,30"
18.01.18,18.01.18,"25,18"
17.01.18,17.01.18,"25,03"
16.01.18,16.01.18,"25,01"
15.01.18,15.01.18,"25,36"
12.01.18,12.01.18,"25,48"
11.01.18,11.01.18,"25,25"
10.01.18,10.01.18,"25,00"
09.01.18,09.01.18,"25,01"
08.01.18,08.01.18,"24,90"
05.01.18,05.01.18,"25,04"
04.01.18,04.01.18,"25,08"
03.01.18,03.01.18,"25,10"
02.01.18,02.01.18,"24,08"
29.12.17,29.12.17,"24,215"
28.12.17,28.12.17,"24,04"
27.12.17,27.12.17,"24,045"
22.12.17,22.12.17,"23,93"
21.12.17,21.12.17,"24,16"
20.12.17,20.12.17,"24,105"
19.12.17,19.12.17,"24,125"
18.12.17,18.12.17,"23,90"
15.12.17,15.12.17,"23,445"
14.12.17,14.12.17,"23,73"
13.12.17,13.12.17,"23,84"
12.12.17,12.12.17,"23,39"
11.12.17,11.12.17,"23,13"
08.12.17,08.12.17,"22,90"
07.12.17,07.12.17,"22,55"
06.12.17,06.12.17,"22,485"
05.12.17,05.12.17,"22,56"
04.12.17,04.12.17,"22,86"
01.12.17,01.12.17,"22,315"
30.11.17,30.11.17,"22,99"
29.11.17,29.11.17,"23,175"
28.11.17,28.11.17,"22,95"
27.11.17,27.11.17,"22,90"
24.11.17,24.11.17,"22,855"
23.11.17,23.11.17,"22,785"
22.11.17,22.11.17,"21,92"
21.11.17,21.11.17,"22,085"
20.11.17,20.11.17,"22,26"
17.11.17,17.11.17,"22,08"
16.11.17,16.11.17,"22,22"
15.11.17,15.11.17,"21,95"
14.11.17,14.11.17,"21,665"
13.11.17,13.11.17,"21,925"
10.11.17,10.11.17,"22,525"
09.11.17,09.11.17,"22,685"
08.11.17,08.11.17,"23,285"
07.11.17,07.11.17,"23,32"
06.11.17,06.11.17,"23,39"
03.11.17,03.11.17,"23,35"
02.11.17,02.11.17,"23,44"
01.11.17,01.11.17,"23,475"
30.10.17,30.10.17,"22,905"
27.10.17,27.10.17,"23,065"
26.10.17,26.10.17,"23,005"
25.10.17,25.10.17,"22,985"
24.10.17,24.10.17,"23,50"
23.10.17,23.10.17,"23,495"
20.10.17,20.10.17,"23,345"
19.10.17,19.10.17,"23,425"
18.10.17,18.10.17,"23,565"
17.10.17,17.10.17,"23,485"
16.10.17,16.10.17,"23,815"
13.10.17,13.10.17,"23,745"
12.10.17,12.10.17,"23,65"
11.10.17,11.10.17,"23,605"
10.10.17,10.10.17,"23,14"
09.10.17,09.10.17,"23,015"
06.10.17,06.10.17,"23,365"
05.10.17,05.10.17,"24,055"
04.10.17,04.10.17,"24,10"
02.10.17,02.10.17,"24,70"
29.09.17,29.09.17,"25,075"
28.09.17,28.09.17,"25,21"
27.09.17,27.09.17,"24,905"
26.09.17,26.09.17,"24,725"
25.09.17,25.09.17,"24,70"
22.09.17,22.09.17,"25,02"
21.09.17,21.09.17,"24,97"
20.09.17,20.09.17,"25,855"
19.09.17,19.09.17,"25,245"
18.09.17,18.09.17,"25,66"
15.09.17,15.09.17,"25,85"
14.09.17,14.09.17,"26,065"
13.09.17,13.09.17,"26,295"
12.09.17,12.09.17,"26,70"
11.09.17,11.09.17,"26,38"
08.09.17,08.09.17,"26,02"
07.09.17,07.09.17,"25,565"
06.09.17,06.09.17,"25,065"
05.09.17,05.09.17,"25,15"
04.09.17,04.09.17,"25,055"
01.09.17,01.09.17,"25,395"
31.08.17,31.08.17,"25,19"
30.08.17,30.08.17,"24,715"
29.08.17,29.08.17,"24,475"
28.08.17,28.08.17,"25,255"
25.08.17,25.08.17,"25,185"
24.08.17,24.08.17,"25,045"
23.08.17,23.08.17,"25,10"
22.08.17,22.08.17,"25,395"
21.08.17,21.08.17,"25,265"
18.08.17,18.08.17,"26,095"
17.08.17,17.08.17,"26,11"
16.08.17,16.08.17,"26,32"
15.08.17,15.08.17,"26,06"
14.08.17,14.08.17,"26,25"
11.08.17,11.08.17,"25,70"
10.08.17,10.08.17,"25,77"
09.08.17,09.08.17,"25,56"
08.08.17,08.08.17,"25,85"
07.08.17,07.08.17,"25,725"
04.08.17,04.08.17,"25,405"
03.08.17,03.08.17,"24,935"
02.08.17,02.08.17,"24,62"
01.08.17,01.08.17,"25,55"
31.07.17,31.07.17,"25,085"
28.07.17,28.07.17,"25,415"
27.07.17,27.07.17,"25,90"
26.07.17,26.07.17,"25,985"
25.07.17,25.07.17,"25,825"
24.07.17,24.07.17,"25,625"
21.07.17,21.07.17,"25,655"
20.07.17,20.07.17,"26,005"
19.07.17,19.07.17,"26,27"
18.07.17,18.07.17,"26,41"
17.07.17,17.07.17,"26,74"
14.07.17,14.07.17,"26,565"
13.07.17,13.07.17,"26,825"
12.07.17,12.07.17,"26,73"
11.07.17,11.07.17,"26,47"
10.07.17,10.07.17,"26,15"
07.07.17,07.07.17,"25,92"
06.07.17,06.07.17,"26,13"
05.07.17,05.07.17,"26,29"
04.07.17,04.07.17,"26,08"
03.07.17,03.07.17,"26,10"
30.06.17,30.06.17,"24,875"
29.06.17,29.06.17,"24,91"
28.06.17,28.06.17,"25,69"
27.06.17,27.06.17,"25,41"
26.06.17,26.06.17,"25,625"
23.06.17,23.06.17,"25,33"
22.06.17,22.06.17,"25,30"
21.06.17,21.06.17,"24,195"
20.06.17,20.06.17,"23,695"
19.06.17,19.06.17,"24,145"
16.06.17,16.06.17,"23,55"
15.06.17,15.06.17,"23,315"
14.06.17,14.06.17,"23,87"
13.06.17,13.06.17,"24,135"
12.06.17,12.06.17,"23,95"
09.06.17,09.06.17,"24,27"
08.06.17,08.06.17,"23,79"
07.06.17,07.06.17,"22,955"
06.06.17,06.06.17,"23,03"
02.06.17,02.06.17,"23,51"
01.06.17,01.06.17,"23,27"
31.05.17,31.05.17,"23,61"
30.05.17,30.05.17,"23,965"
29.05.17,29.05.17,"24,15"
26.05.17,26.05.17,"24,035"
25.05.17,25.05.17,"23,96"
24.05.17,24.05.17,"23,42"
23.05.17,23.05.17,"23,525"
22.05.17,22.05.17,"22,935"
19.05.17,19.05.17,"23,09"
18.05.17,18.05.17,"23,02"
17.05.17,17.05.17,"23,175"
16.05.17,16.05.17,"22,49"
15.05.17,15.05.17,"21,60"
12.05.17,12.05.17,"21,36"
11.05.17,11.05.17,"22,265"
10.05.17,10.05.17,"22,445"
09.05.17,09.05.17,"22,445"
08.05.17,08.05.17,"22,18"
05.05.17,05.05.17,"22,515"
04.05.17,04.05.17,"22,07"
03.05.17,03.05.17,"21,98"
02.05.17,02.05.17,"22,145"
28.04.17,28.04.17,"21,855"
27.04.17,27.04.17,"21,675"
26.04.17,26.04.17,"22,60"
25.04.17,25.04.17,"22,765"
24.04.17,24.04.17,"22,17"
21.04.17,21.04.17,"21,465"
20.04.17,20.04.17,"21,47"
19.04.17,19.04.17,"21,845"
18.04.17,18.04.17,"21,275"
13.04.17,13.04.17,"21,88"
12.04.17,12.04.17,"22,035"
11.04.17,11.04.17,"22,46"
10.04.17,10.04.17,"22,645"
07.04.17,07.04.17,"22,55"
06.04.17,06.04.17,"22,725"
05.04.17,05.04.17,"22,835"
04.04.17,04.04.17,"22,945"
03.04.17,03.04.17,"23,20"
31.03.17,31.03.17,"22,96"
30.03.17,30.03.17,"22,945"
29.03.17,29.03.17,"22,745"
28.03.17,28.03.17,"22,685"
27.03.17,27.03.17,"22,35"
24.03.17,24.03.17,"22,685"
23.03.17,23.03.17,"22,765"
22.03.17,22.03.17,"22,575"
21.03.17,21.03.17,"22,82"
