Datum,/apple-aktie,/apple-aktie.1,/wirecard-aktie,/wirecard-aktie.1
08.11.2019,08.11.2019,234.35,08.11.2019,116.05
07.11.2019,07.11.2019,235.2,07.11.2019,120.3
06.11.2019,06.11.2019,231.9,06.11.2019,121.05
05.11.2019,05.11.2019,232.55,05.11.2019,122.5
04.11.2019,04.11.2019,230.6,04.11.2019,118.9
01.11.2019,01.11.2019,226.5,01.11.2019,114.85
31.10.2019,31.10.2019,222.45,31.10.2019,113.55
30.10.2019,30.10.2019,218.45,30.10.2019,114.0
29.10.2019,29.10.2019,219.9,29.10.2019,115.55
28.10.2019,28.10.2019,223.9,28.10.2019,115.1
25.10.2019,25.10.2019,221.2,25.10.2019,114.5
24.10.2019,24.10.2019,219.15,24.10.2019,115.65
23.10.2019,23.10.2019,218.05,23.10.2019,115.4
22.10.2019,22.10.2019,216.5,22.10.2019,116.0
21.10.2019,21.10.2019,215.5,21.10.2019,118.5
18.10.2019,18.10.2019,211.6,18.10.2019,111.65
17.10.2019,17.10.2019,210.45,17.10.2019,119.15
16.10.2019,16.10.2019,211.4,16.10.2019,122.5
15.10.2019,15.10.2019,213.0,15.10.2019,122.05
14.10.2019,14.10.2019,215.65,14.10.2019,140.0
11.10.2019,11.10.2019,212.5,11.10.2019,142.05
10.10.2019,10.10.2019,209.05,10.10.2019,140.5
09.10.2019,09.10.2019,205.85,09.10.2019,141.5
08.10.2019,08.10.2019,206.1,08.10.2019,137.8
07.10.2019,07.10.2019,208.25,07.10.2019,144.5
04.10.2019,04.10.2019,205.95,04.10.2019,140.7
02.10.2019,02.10.2019,200.05,02.10.2019,139.65
01.10.2019,01.10.2019,207.5,01.10.2019,145.0
30.09.2019,30.09.2019,204.9,30.09.2019,146.75
27.09.2019,27.09.2019,201.25,27.09.2019,149.9
26.09.2019,26.09.2019,201.05,26.09.2019,148.1
25.09.2019,25.09.2019,200.0,25.09.2019,145.75
24.09.2019,24.09.2019,199.98,24.09.2019,149.3
23.09.2019,23.09.2019,198.96,23.09.2019,145.5
20.09.2019,20.09.2019,201.25,20.09.2019,147.95
19.09.2019,19.09.2019,201.65,19.09.2019,149.9
18.09.2019,18.09.2019,200.5,18.09.2019,158.3
17.09.2019,17.09.2019,199.2,17.09.2019,152.8
16.09.2019,16.09.2019,199.88,16.09.2019,153.65
13.09.2019,13.09.2019,197.6,13.09.2019,149.85
12.09.2019,12.09.2019,204.2,12.09.2019,151.0
11.09.2019,11.09.2019,201.25,11.09.2019,152.3
10.09.2019,10.09.2019,192.98,10.09.2019,149.85
09.09.2019,09.09.2019,195.54,09.09.2019,156.9
06.09.2019,06.09.2019,192.94,06.09.2019,157.3
05.09.2019,05.09.2019,192.68,05.09.2019,157.5
04.09.2019,04.09.2019,188.72,04.09.2019,151.05
03.09.2019,03.09.2019,187.18,03.09.2019,144.5
02.09.2019,02.09.2019,190.0,02.09.2019,144.2
30.08.2019,30.08.2019,189.24,30.08.2019,145.1
29.08.2019,29.08.2019,188.3,29.08.2019,143.35
28.08.2019,28.08.2019,185.28,28.08.2019,142.55
27.08.2019,27.08.2019,184.92,27.08.2019,144.75
26.08.2019,26.08.2019,185.84,26.08.2019,144.5
23.08.2019,23.08.2019,184.12,23.08.2019,145.1
22.08.2019,22.08.2019,191.54,22.08.2019,143.5
21.08.2019,21.08.2019,192.34,21.08.2019,144.65
20.08.2019,20.08.2019,191.52,20.08.2019,141.0
19.08.2019,19.08.2019,191.08,19.08.2019,141.0
16.08.2019,16.08.2019,185.8,16.08.2019,138.65
15.08.2019,15.08.2019,181.52,15.08.2019,134.5
14.08.2019,14.08.2019,183.58,14.08.2019,138.1
13.08.2019,13.08.2019,185.92,13.08.2019,141.45
12.08.2019,12.08.2019,179.2,12.08.2019,142.25
09.08.2019,09.08.2019,177.98,09.08.2019,144.75
08.08.2019,08.08.2019,180.16,08.08.2019,147.75
07.08.2019,07.08.2019,175.2,07.08.2019,147.25
06.08.2019,06.08.2019,173.84,06.08.2019,150.65
05.08.2019,05.08.2019,174.42,05.08.2019,145.55
02.08.2019,02.08.2019,182.56,02.08.2019,149.05
01.08.2019,01.08.2019,196.18,01.08.2019,151.9
31.07.2019,31.07.2019,195.92,31.07.2019,151.6
30.07.2019,30.07.2019,186.66,30.07.2019,147.5
29.07.2019,29.07.2019,188.88,29.07.2019,150.0
26.07.2019,26.07.2019,187.42,26.07.2019,151.55
25.07.2019,25.07.2019,186.4,25.07.2019,150.0
24.07.2019,24.07.2019,186.5,24.07.2019,152.6
23.07.2019,23.07.2019,186.48,23.07.2019,150.1
22.07.2019,22.07.2019,183.58,22.07.2019,150.75
19.07.2019,19.07.2019,182.6,19.07.2019,147.15
18.07.2019,18.07.2019,181.8,18.07.2019,139.45
17.07.2019,17.07.2019,182.2,17.07.2019,142.25
16.07.2019,16.07.2019,182.82,16.07.2019,146.95
15.07.2019,15.07.2019,182.04,15.07.2019,149.65
12.07.2019,12.07.2019,181.04,12.07.2019,144.4
11.07.2019,11.07.2019,181.28,11.07.2019,146.3
10.07.2019,10.07.2019,180.04,10.07.2019,149.5
09.07.2019,09.07.2019,178.5,09.07.2019,149.35
08.07.2019,08.07.2019,178.2,08.07.2019,152.8
05.07.2019,05.07.2019,181.92,05.07.2019,151.9
04.07.2019,04.07.2019,181.1,04.07.2019,153.95
03.07.2019,03.07.2019,180.58,03.07.2019,153.1
02.07.2019,02.07.2019,178.96,02.07.2019,151.3
01.07.2019,01.07.2019,178.92,01.07.2019,152.85
28.06.2019,28.06.2019,173.9,28.06.2019,148.05
27.06.2019,27.06.2019,175.66,27.06.2019,148.8
26.06.2019,26.06.2019,175.48,26.06.2019,146.3
25.06.2019,25.06.2019,173.86,25.06.2019,148.75
24.06.2019,24.06.2019,175.06,24.06.2019,151.5
21.06.2019,21.06.2019,177.04,21.06.2019,151.25
20.06.2019,20.06.2019,176.34,20.06.2019,150.6
19.06.2019,19.06.2019,176.9,19.06.2019,151.05
18.06.2019,18.06.2019,177.8,18.06.2019,155.0
17.06.2019,17.06.2019,172.96,17.06.2019,151.3
14.06.2019,14.06.2019,171.38,14.06.2019,149.45
13.06.2019,13.06.2019,173.1,13.06.2019,150.9
12.06.2019,12.06.2019,172.06,12.06.2019,147.25
11.06.2019,11.06.2019,172.2,11.06.2019,149.65
07.06.2019,07.06.2019,168.04,07.06.2019,146.55
06.06.2019,06.06.2019,162.62,06.06.2019,145.05
05.06.2019,05.06.2019,162.48,05.06.2019,148.8
04.06.2019,04.06.2019,159.44,04.06.2019,145.15
03.06.2019,03.06.2019,157.92,03.06.2019,145.2
31.05.2019,31.05.2019,159.2,31.05.2019,140.1
30.05.2019,30.05.2019,159.64,30.05.2019,153.4
29.05.2019,29.05.2019,159.08,29.05.2019,150.0
28.05.2019,28.05.2019,159.96,28.05.2019,160.9
27.05.2019,27.05.2019,159.7,27.05.2019,159.7
24.05.2019,24.05.2019,160.86,24.05.2019,155.5
23.05.2019,23.05.2019,161.04,23.05.2019,153.3
22.05.2019,22.05.2019,164.9,22.05.2019,158.85
21.05.2019,21.05.2019,167.66,21.05.2019,150.05
20.05.2019,20.05.2019,163.5,20.05.2019,143.75
17.05.2019,17.05.2019,169.8,17.05.2019,139.95
16.05.2019,16.05.2019,171.3,16.05.2019,140.05
15.05.2019,15.05.2019,169.86,15.05.2019,138.7
14.05.2019,14.05.2019,168.04,14.05.2019,137.4
13.05.2019,13.05.2019,166.42,13.05.2019,132.45
10.05.2019,10.05.2019,173.88,10.05.2019,134.8
09.05.2019,09.05.2019,175.86,09.05.2019,135.25
08.05.2019,08.05.2019,183.4,08.05.2019,140.0
07.05.2019,07.05.2019,182.64,07.05.2019,133.5
06.05.2019,06.05.2019,185.68,06.05.2019,126.55
03.05.2019,03.05.2019,188.38,03.05.2019,128.75
02.05.2019,02.05.2019,187.82,02.05.2019,130.15
30.04.2019,30.04.2019,178.44,30.04.2019,133.7
29.04.2019,29.04.2019,183.5,29.04.2019,135.25
26.04.2019,26.04.2019,183.18,26.04.2019,133.75
25.04.2019,25.04.2019,185.34,25.04.2019,129.0
24.04.2019,24.04.2019,186.02,24.04.2019,134.0
23.04.2019,23.04.2019,184.32,23.04.2019,123.5
18.04.2019,18.04.2019,180.72,18.04.2019,120.1
17.04.2019,17.04.2019,178.24,17.04.2019,122.5
16.04.2019,16.04.2019,177.2,16.04.2019,117.9
15.04.2019,15.04.2019,176.12,15.04.2019,113.85
12.04.2019,12.04.2019,174.38,12.04.2019,110.4
11.04.2019,11.04.2019,177.68,11.04.2019,110.8
10.04.2019,10.04.2019,177.18,10.04.2019,109.2
09.04.2019,09.04.2019,178.3,09.04.2019,107.2
08.04.2019,08.04.2019,177.06,08.04.2019,109.5
05.04.2019,05.04.2019,175.12,05.04.2019,110.95
04.04.2019,04.04.2019,174.62,04.04.2019,110.1
03.04.2019,03.04.2019,174.6,03.04.2019,108.1
02.04.2019,02.04.2019,172.06,02.04.2019,108.0
01.04.2019,01.04.2019,169.32,01.04.2019,109.55
29.03.2019,29.03.2019,168.74,29.03.2019,111.7
28.03.2019,28.03.2019,167.58,28.03.2019,122.4
27.03.2019,27.03.2019,167.42,27.03.2019,124.35
26.03.2019,26.03.2019,169.2,26.03.2019,125.0
25.03.2019,25.03.2019,167.83,25.03.2019,99.0
22.03.2019,22.03.2019,170.8,22.03.2019,99.0
21.03.2019,21.03.2019,171.18,21.03.2019,101.1
20.03.2019,20.03.2019,164.4,20.03.2019,107.1
19.03.2019,19.03.2019,165.6,19.03.2019,111.1
18.03.2019,18.03.2019,165.2,18.03.2019,107.3
15.03.2019,15.03.2019,164.71,15.03.2019,105.0
14.03.2019,14.03.2019,162.75,14.03.2019,115.1
13.03.2019,13.03.2019,160.87,13.03.2019,118.7
12.03.2019,12.03.2019,160.67,12.03.2019,127.05
11.03.2019,11.03.2019,159.02,11.03.2019,133.35
08.03.2019,08.03.2019,152.83,08.03.2019,123.85
07.03.2019,07.03.2019,154.4,07.03.2019,117.65
06.03.2019,06.03.2019,154.46,06.03.2019,118.5
05.03.2019,05.03.2019,155.36,05.03.2019,119.0
04.03.2019,04.03.2019,155.66,04.03.2019,117.9
01.03.2019,01.03.2019,152.25,01.03.2019,120.5
28.02.2019,28.02.2019,152.85,28.02.2019,120.5
27.02.2019,27.02.2019,152.77,27.02.2019,116.95
26.02.2019,26.02.2019,153.28,26.02.2019,118.0
25.02.2019,25.02.2019,154.52,25.02.2019,116.0
22.02.2019,22.02.2019,151.85,22.02.2019,115.1
21.02.2019,21.02.2019,150.83,21.02.2019,110.3
20.02.2019,20.02.2019,151.96,20.02.2019,114.25
19.02.2019,19.02.2019,150.18,19.02.2019,120.25
18.02.2019,18.02.2019,150.52,18.02.2019,115.0
15.02.2019,15.02.2019,150.98,15.02.2019,99.9
14.02.2019,14.02.2019,150.75,14.02.2019,102.25
13.02.2019,13.02.2019,151.37,13.02.2019,96.88
12.02.2019,12.02.2019,150.21,12.02.2019,101.85
11.02.2019,11.02.2019,150.49,11.02.2019,103.2
08.02.2019,08.02.2019,149.59,08.02.2019,96.86
07.02.2019,07.02.2019,151.5,07.02.2019,110.75
06.02.2019,06.02.2019,153.92,06.02.2019,130.3
05.02.2019,05.02.2019,152.79,05.02.2019,132.4
04.02.2019,04.02.2019,149.55,04.02.2019,123.4
01.02.2019,01.02.2019,146.03,01.02.2019,108.5
31.01.2019,31.01.2019,146.83,31.01.2019,144.7
30.01.2019,30.01.2019,142.17,30.01.2019,145.15
29.01.2019,29.01.2019,136.2,29.01.2019,167.4
28.01.2019,28.01.2019,135.34,28.01.2019,166.6
25.01.2019,25.01.2019,137.34,25.01.2019,167.4
24.01.2019,24.01.2019,134.29,24.01.2019,166.15
23.01.2019,23.01.2019,134.38,23.01.2019,160.0
22.01.2019,22.01.2019,136.71,22.01.2019,156.9
21.01.2019,21.01.2019,137.75,21.01.2019,154.0
18.01.2019,18.01.2019,138.26,18.01.2019,149.85
17.01.2019,17.01.2019,135.55,17.01.2019,143.0
16.01.2019,16.01.2019,136.07,16.01.2019,139.15
15.01.2019,15.01.2019,133.24,15.01.2019,138.1
14.01.2019,14.01.2019,130.39,14.01.2019,135.9
11.01.2019,11.01.2019,132.61,11.01.2019,139.75
10.01.2019,10.01.2019,132.55,10.01.2019,141.75
09.01.2019,09.01.2019,132.93,09.01.2019,142.95
08.01.2019,08.01.2019,130.66,08.01.2019,137.95
07.01.2019,07.01.2019,128.13,07.01.2019,136.45
04.01.2019,04.01.2019,129.57,04.01.2019,133.25
03.01.2019,03.01.2019,126.68,03.01.2019,126.95
02.01.2019,02.01.2019,138.92,02.01.2019,134.95
28.12.2018,28.12.2018,137.26,28.12.2018,132.8
27.12.2018,27.12.2018,133.69,27.12.2018,127.3
21.12.2018,21.12.2018,135.84,21.12.2018,128.9
20.12.2018,20.12.2018,139.99,20.12.2018,128.75
19.12.2018,19.12.2018,145.18,19.12.2018,135.95
18.12.2018,18.12.2018,145.64,18.12.2018,132.45
17.12.2018,17.12.2018,148.08,17.12.2018,134.6
14.12.2018,14.12.2018,148.31,14.12.2018,137.2
13.12.2018,13.12.2018,151.06,13.12.2018,137.75
12.12.2018,12.12.2018,150.3,12.12.2018,137.0
11.12.2018,11.12.2018,149.46,11.12.2018,136.7
10.12.2018,10.12.2018,145.07,10.12.2018,132.45
07.12.2018,07.12.2018,149.67,07.12.2018,133.1
06.12.2018,06.12.2018,151.18,06.12.2018,129.5
05.12.2018,05.12.2018,156.46,05.12.2018,134.85
04.12.2018,04.12.2018,159.23,04.12.2018,138.55
03.12.2018,03.12.2018,160.68,03.12.2018,140.8
30.11.2018,30.11.2018,156.98,30.11.2018,133.45
29.11.2018,29.11.2018,157.11,29.11.2018,136.3
28.11.2018,28.11.2018,156.08,28.11.2018,132.35
27.11.2018,27.11.2018,153.98,27.11.2018,130.65
26.11.2018,26.11.2018,151.57,26.11.2018,135.8
23.11.2018,23.11.2018,153.0,23.11.2018,131.95
22.11.2018,22.11.2018,152.6,22.11.2018,130.1
21.11.2018,21.11.2018,156.38,21.11.2018,131.75
20.11.2018,20.11.2018,157.53,20.11.2018,129.6
19.11.2018,19.11.2018,163.12,19.11.2018,137.6
16.11.2018,16.11.2018,169.4,16.11.2018,147.8
15.11.2018,15.11.2018,168.21,15.11.2018,149.0
14.11.2018,14.11.2018,166.69,14.11.2018,149.1
13.11.2018,13.11.2018,173.58,13.11.2018,157.0
12.11.2018,12.11.2018,172.76,12.11.2018,151.7
09.11.2018,09.11.2018,179.53,09.11.2018,157.4
08.11.2018,08.11.2018,181.37,08.11.2018,155.7
07.11.2018,07.11.2018,181.0,07.11.2018,158.1
06.11.2018,06.11.2018,178.05,06.11.2018,154.5
05.11.2018,05.11.2018,176.99,05.11.2018,150.95
02.11.2018,02.11.2018,182.5,02.11.2018,151.75
01.11.2018,01.11.2018,192.31,01.11.2018,162.3
31.10.2018,31.10.2018,193.73,31.10.2018,165.4
30.10.2018,30.10.2018,187.56,30.10.2018,158.95
29.10.2018,29.10.2018,189.93,29.10.2018,160.05
26.10.2018,26.10.2018,190.22,26.10.2018,159.55
25.10.2018,25.10.2018,193.49,25.10.2018,165.2
24.10.2018,24.10.2018,192.31,24.10.2018,161.85
23.10.2018,23.10.2018,189.18,23.10.2018,161.05
22.10.2018,22.10.2018,193.93,22.10.2018,175.3
19.10.2018,19.10.2018,191.18,19.10.2018,174.0
18.10.2018,18.10.2018,188.71,18.10.2018,170.45
17.10.2018,17.10.2018,191.08,17.10.2018,177.0
16.10.2018,16.10.2018,189.27,16.10.2018,174.15
15.10.2018,15.10.2018,189.37,15.10.2018,169.6
12.10.2018,12.10.2018,190.0,12.10.2018,168.05
11.10.2018,11.10.2018,186.42,11.10.2018,159.55
10.10.2018,10.10.2018,193.42,10.10.2018,156.25
09.10.2018,09.10.2018,197.1,09.10.2018,182.1
08.10.2018,08.10.2018,193.52,08.10.2018,166.2
05.10.2018,05.10.2018,195.0,05.10.2018,189.0
04.10.2018,04.10.2018,199.04,04.10.2018,190.75
02.10.2018,02.10.2018,198.5,02.10.2018,190.55
01.10.2018,01.10.2018,197.47,01.10.2018,192.45
28.09.2018,28.09.2018,193.67,28.09.2018,186.7
27.09.2018,27.09.2018,193.11,27.09.2018,188.15
26.09.2018,26.09.2018,189.8,26.09.2018,190.9
25.09.2018,25.09.2018,188.47,25.09.2018,191.4
24.09.2018,24.09.2018,186.49,24.09.2018,182.45
21.09.2018,21.09.2018,186.64,21.09.2018,178.3
20.09.2018,20.09.2018,188.41,20.09.2018,176.2
19.09.2018,19.09.2018,186.44,19.09.2018,184.6
18.09.2018,18.09.2018,187.97,18.09.2018,188.05
17.09.2018,17.09.2018,187.97,17.09.2018,188.25
14.09.2018,14.09.2018,192.63,14.09.2018,188.9
13.09.2018,13.09.2018,194.36,13.09.2018,180.7
12.09.2018,12.09.2018,191.33,12.09.2018,185.9
11.09.2018,11.09.2018,191.1,11.09.2018,188.0
10.09.2018,10.09.2018,188.27,10.09.2018,186.25
07.09.2018,07.09.2018,194.4,07.09.2018,192.45
06.09.2018,06.09.2018,192.06,06.09.2018,184.5
05.09.2018,05.09.2018,195.04,05.09.2018,182.1
04.09.2018,04.09.2018,197.81,04.09.2018,193.2
03.09.2018,03.09.2018,196.51,03.09.2018,195.75
31.08.2018,31.08.2018,195.66,31.08.2018,191.3
