Datum,/apple-aktie,/apple-aktie.1,/wirecard-aktie,/wirecard-aktie.1
07.10.2015,07.10.2015,97.171,07.10.2015,42.69
06.10.2015,06.10.2015,97.95,06.10.2015,43.225
05.10.2015,05.10.2015,97.99,05.10.2015,44.5
02.10.2015,02.10.2015,96.71,02.10.2015,43.845
01.10.2015,01.10.2015,96.27,01.10.2015,43.105
30.09.2015,30.09.2015,99.47,30.09.2015,42.705
29.09.2015,29.09.2015,99.78,29.09.2015,41.48
28.09.2015,28.09.2015,100.8,28.09.2015,41.47
25.09.2015,25.09.2015,103.55,25.09.2015,41.765
24.09.2015,24.09.2015,100.1,24.09.2015,40.28
23.09.2015,23.09.2015,101.85,23.09.2015,40.64
22.09.2015,22.09.2015,101.649,22.09.2015,39.44
21.09.2015,21.09.2015,102.35,21.09.2015,39.975
18.09.2015,18.09.2015,100.2,18.09.2015,40.05
17.09.2015,17.09.2015,102.05,17.09.2015,39.965
16.09.2015,16.09.2015,103.05,16.09.2015,38.12
15.09.2015,15.09.2015,102.7,15.09.2015,37.18
14.09.2015,14.09.2015,102.1,14.09.2015,36.74
11.09.2015,11.09.2015,98.94,11.09.2015,36.89
10.09.2015,10.09.2015,99.58,10.09.2015,37.155
09.09.2015,09.09.2015,100.7,09.09.2015,36.885
08.09.2015,08.09.2015,100.0,08.09.2015,36.475
07.09.2015,07.09.2015,99.12,07.09.2015,36.12
04.09.2015,04.09.2015,98.12,04.09.2015,36.175
03.09.2015,03.09.2015,100.65,03.09.2015,36.77
02.09.2015,02.09.2015,97.75,02.09.2015,36.205
01.09.2015,01.09.2015,98.76,01.09.2015,36.03
31.08.2015,31.08.2015,101.0,31.08.2015,37.115
28.08.2015,28.08.2015,101.1,28.08.2015,36.78
27.08.2015,27.08.2015,99.7,27.08.2015,36.63
26.08.2015,26.08.2015,92.83,26.08.2015,35.765
25.08.2015,25.08.2015,95.39,25.08.2015,37.205
24.08.2015,24.08.2015,90.31,24.08.2015,35.56
21.08.2015,21.08.2015,95.68,21.08.2015,36.85
20.08.2015,20.08.2015,99.82,20.08.2015,38.4
19.08.2015,19.08.2015,103.8,19.08.2015,39.0
18.08.2015,18.08.2015,105.95,18.08.2015,38.885
17.08.2015,17.08.2015,105.75,17.08.2015,35.975
14.08.2015,14.08.2015,103.55,14.08.2015,36.295
13.08.2015,13.08.2015,104.0,13.08.2015,36.24
12.08.2015,12.08.2015,101.7,12.08.2015,35.53
11.08.2015,11.08.2015,104.85,11.08.2015,36.45
10.08.2015,10.08.2015,108.1,10.08.2015,36.75
07.08.2015,07.08.2015,105.0,07.08.2015,36.555
06.08.2015,06.08.2015,105.15,06.08.2015,37.2
05.08.2015,05.08.2015,107.8,05.08.2015,37.75
04.08.2015,04.08.2015,104.6,04.08.2015,36.895
03.08.2015,03.08.2015,110.1,03.08.2015,36.365
31.07.2015,31.07.2015,110.1,31.07.2015,36.1
30.07.2015,30.07.2015,111.8,30.07.2015,35.855
29.07.2015,29.07.2015,111.25,29.07.2015,36.0
28.07.2015,28.07.2015,111.7,28.07.2015,36.87
27.07.2015,27.07.2015,110.7,27.07.2015,37.41
24.07.2015,24.07.2015,114.15,24.07.2015,38.435
23.07.2015,23.07.2015,115.45,23.07.2015,39.145
22.07.2015,22.07.2015,113.75,22.07.2015,39.375
21.07.2015,21.07.2015,119.95,21.07.2015,39.43
20.07.2015,20.07.2015,121.55,20.07.2015,40.145
17.07.2015,17.07.2015,119.1,17.07.2015,38.905
16.07.2015,16.07.2015,117.4,16.07.2015,39.075
15.07.2015,15.07.2015,115.75,15.07.2015,38.11
14.07.2015,14.07.2015,114.1,14.07.2015,37.61
13.07.2015,13.07.2015,113.25,13.07.2015,37.35
10.07.2015,10.07.2015,110.45,10.07.2015,36.99
09.07.2015,09.07.2015,111.3,09.07.2015,35.86
08.07.2015,08.07.2015,111.7,08.07.2015,35.05
07.07.2015,07.07.2015,113.1,07.07.2015,34.74
06.07.2015,06.07.2015,113.7,06.07.2015,35.435
03.07.2015,03.07.2015,113.1,03.07.2015,35.82
02.07.2015,02.07.2015,113.6,02.07.2015,35.52
01.07.2015,01.07.2015,114.15,01.07.2015,35.265
30.06.2015,30.06.2015,112.6,30.06.2015,34.35
29.06.2015,29.06.2015,112.45,29.06.2015,34.6
26.06.2015,26.06.2015,113.95,26.06.2015,35.365
25.06.2015,25.06.2015,114.95,25.06.2015,35.88
24.06.2015,24.06.2015,115.75,24.06.2015,35.805
23.06.2015,23.06.2015,113.7,23.06.2015,36.245
22.06.2015,22.06.2015,112.25,22.06.2015,35.38
19.06.2015,19.06.2015,112.2,19.06.2015,36.5
18.06.2015,18.06.2015,112.2,18.06.2015,35.97
17.06.2015,17.06.2015,113.0,17.06.2015,35.93
16.06.2015,16.06.2015,113.05,16.06.2015,35.95
15.06.2015,15.06.2015,112.55,15.06.2015,35.89
12.06.2015,12.06.2015,113.4,12.06.2015,36.18
11.06.2015,11.06.2015,115.1,11.06.2015,37.095
10.06.2015,10.06.2015,113.85,10.06.2015,36.395
09.06.2015,09.06.2015,112.3,09.06.2015,35.575
08.06.2015,08.06.2015,114.45,08.06.2015,36.2
05.06.2015,05.06.2015,115.95,05.06.2015,36.24
04.06.2015,04.06.2015,115.15,04.06.2015,36.765
03.06.2015,03.06.2015,115.7,03.06.2015,37.525
02.06.2015,02.06.2015,116.7,02.06.2015,37.62
01.06.2015,01.06.2015,120.0,01.06.2015,38.04
29.05.2015,29.05.2015,118.75,29.05.2015,37.73
28.05.2015,28.05.2015,120.6,28.05.2015,37.955
27.05.2015,27.05.2015,120.8,27.05.2015,36.93
26.05.2015,26.05.2015,120.0,26.05.2015,38.355
22.05.2015,22.05.2015,119.9,22.05.2015,39.485
21.05.2015,21.05.2015,117.9,21.05.2015,40.815
20.05.2015,20.05.2015,117.1,20.05.2015,40.865
19.05.2015,19.05.2015,117.0,19.05.2015,40.66
18.05.2015,18.05.2015,114.8,18.05.2015,39.435
15.05.2015,15.05.2015,112.25,15.05.2015,39.145
14.05.2015,14.05.2015,112.95,14.05.2015,39.09
13.05.2015,13.05.2015,111.35,13.05.2015,38.82
12.05.2015,12.05.2015,112.4,12.05.2015,38.75
11.05.2015,11.05.2015,113.2,11.05.2015,38.925
08.05.2015,08.05.2015,113.2,08.05.2015,38.725
07.05.2015,07.05.2015,111.2,07.05.2015,37.675
06.05.2015,06.05.2015,110.85,06.05.2015,35.7
05.05.2015,05.05.2015,112.95,05.05.2015,38.145
04.05.2015,04.05.2015,116.2,04.05.2015,39.615
30.04.2015,30.04.2015,112.8,30.04.2015,39.41
29.04.2015,29.04.2015,116.6,29.04.2015,39.05
28.04.2015,28.04.2015,119.9,28.04.2015,40.265
27.04.2015,27.04.2015,121.8,27.04.2015,40.87
24.04.2015,24.04.2015,119.5,24.04.2015,40.23
23.04.2015,23.04.2015,119.65,23.04.2015,40.61
22.04.2015,22.04.2015,118.45,22.04.2015,41.065
21.04.2015,21.04.2015,118.0,21.04.2015,41.615
20.04.2015,20.04.2015,118.55,20.04.2015,40.72
17.04.2015,17.04.2015,116.5,17.04.2015,39.965
16.04.2015,16.04.2015,117.85,16.04.2015,41.09
15.04.2015,15.04.2015,118.85,15.04.2015,41.56
14.04.2015,14.04.2015,118.4,14.04.2015,41.83
13.04.2015,13.04.2015,120.5,13.04.2015,41.955
10.04.2015,10.04.2015,119.5,10.04.2015,41.995
09.04.2015,09.04.2015,117.2,09.04.2015,41.03
08.04.2015,08.04.2015,116.2,08.04.2015,39.135
07.04.2015,07.04.2015,117.0,07.04.2015,39.995
02.04.2015,02.04.2015,114.8,02.04.2015,39.64
01.04.2015,01.04.2015,115.25,01.04.2015,39.62
31.03.2015,31.03.2015,116.9,31.03.2015,39.36
30.03.2015,30.03.2015,115.55,30.03.2015,39.76
27.03.2015,27.03.2015,113.25,27.03.2015,39.55
26.03.2015,26.03.2015,114.1,26.03.2015,38.815
25.03.2015,25.03.2015,113.65,25.03.2015,40.05
24.03.2015,24.03.2015,116.65,24.03.2015,40.58
23.03.2015,23.03.2015,116.45,23.03.2015,40.115
20.03.2015,20.03.2015,118.0,20.03.2015,40.0
19.03.2015,19.03.2015,120.25,19.03.2015,40.155
18.03.2015,18.03.2015,119.35,18.03.2015,40.06
17.03.2015,17.03.2015,119.75,17.03.2015,40.515
16.03.2015,16.03.2015,117.3,16.03.2015,41.585
13.03.2015,13.03.2015,117.5,13.03.2015,41.08
12.03.2015,12.03.2015,117.05,12.03.2015,41.24
11.03.2015,11.03.2015,116.65,11.03.2015,41.18
10.03.2015,10.03.2015,115.95,10.03.2015,40.5
09.03.2015,09.03.2015,117.4,09.03.2015,40.705
06.03.2015,06.03.2015,117.6,06.03.2015,40.52
05.03.2015,05.03.2015,115.2,05.03.2015,39.89
04.03.2015,04.03.2015,116.4,04.03.2015,39.575
03.03.2015,03.03.2015,114.6,03.03.2015,39.57
02.03.2015,02.03.2015,115.95,02.03.2015,41.22
27.02.2015,27.02.2015,115.85,27.02.2015,41.24
26.02.2015,26.02.2015,114.5,26.02.2015,41.55
25.02.2015,25.02.2015,115.45,25.02.2015,41.25
24.02.2015,24.02.2015,117.75,24.02.2015,41.3
23.02.2015,23.02.2015,116.2,23.02.2015,41.65
20.02.2015,20.02.2015,113.25,20.02.2015,41.04
19.02.2015,19.02.2015,112.9,19.02.2015,40.86
18.02.2015,18.02.2015,112.65,18.02.2015,40.24
17.02.2015,17.02.2015,112.7,17.02.2015,40.135
16.02.2015,16.02.2015,113.0,16.02.2015,40.495
13.02.2015,13.02.2015,110.35,13.02.2015,40.64
12.02.2015,12.02.2015,110.95,12.02.2015,40.885
11.02.2015,11.02.2015,109.6,11.02.2015,40.435
10.02.2015,10.02.2015,107.1,10.02.2015,40.65
09.02.2015,09.02.2015,105.4,09.02.2015,39.575
06.02.2015,06.02.2015,106.0,06.02.2015,40.605
05.02.2015,05.02.2015,105.2,05.02.2015,40.6
04.02.2015,04.02.2015,105.4,04.02.2015,40.57
03.02.2015,03.02.2015,103.0,03.02.2015,39.615
02.02.2015,02.02.2015,104.65,02.02.2015,39.105
30.01.2015,30.01.2015,105.4,30.01.2015,39.72
29.01.2015,29.01.2015,103.45,29.01.2015,39.435
28.01.2015,28.01.2015,102.65,28.01.2015,39.475
27.01.2015,27.01.2015,97.47,27.01.2015,39.45
26.01.2015,26.01.2015,100.95,26.01.2015,39.335
23.01.2015,23.01.2015,99.7,23.01.2015,38.95
22.01.2015,22.01.2015,97.51,22.01.2015,38.725
21.01.2015,21.01.2015,95.57,21.01.2015,38.61
20.01.2015,20.01.2015,92.56,20.01.2015,38.445
19.01.2015,19.01.2015,91.56,19.01.2015,38.47
16.01.2015,16.01.2015,92.0,16.01.2015,37.785
15.01.2015,15.01.2015,92.47,15.01.2015,37.735
14.01.2015,14.01.2015,92.4,14.01.2015,37.69
13.01.2015,13.01.2015,95.18,13.01.2015,37.875
12.01.2015,12.01.2015,93.34,12.01.2015,37.605
09.01.2015,09.01.2015,94.02,09.01.2015,37.13
08.01.2015,08.01.2015,93.89,08.01.2015,37.35
07.01.2015,07.01.2015,91.09,07.01.2015,35.835
06.01.2015,06.01.2015,88.42,06.01.2015,35.365
05.01.2015,05.01.2015,89.51,05.01.2015,35.755
02.01.2015,02.01.2015,90.21,02.01.2015,36.01
30.12.2014,30.12.2014,93.9,30.12.2014,36.455
29.12.2014,29.12.2014,94.07,29.12.2014,35.985
23.12.2014,23.12.2014,92.61,23.12.2014,36.18
22.12.2014,22.12.2014,92.5,22.12.2014,36.32
19.12.2014,19.12.2014,91.92,19.12.2014,36.09
18.12.2014,18.12.2014,90.43,18.12.2014,35.73
17.12.2014,17.12.2014,86.42,17.12.2014,34.1
16.12.2014,16.12.2014,87.97,16.12.2014,34.47
15.12.2014,15.12.2014,87.27,15.12.2014,33.905
12.12.2014,12.12.2014,88.56,12.12.2014,34.47
11.12.2014,11.12.2014,91.46,11.12.2014,34.845
10.12.2014,10.12.2014,91.34,10.12.2014,35.16
09.12.2014,09.12.2014,89.96,09.12.2014,35.095
08.12.2014,08.12.2014,92.21,08.12.2014,35.905
05.12.2014,05.12.2014,93.86,05.12.2014,36.195
04.12.2014,04.12.2014,93.32,04.12.2014,35.815
03.12.2014,03.12.2014,94.11,03.12.2014,35.905
02.12.2014,02.12.2014,92.94,02.12.2014,34.56
01.12.2014,01.12.2014,92.72,01.12.2014,34.84
28.11.2014,28.11.2014,95.59,28.11.2014,34.13
27.11.2014,27.11.2014,95.6,27.11.2014,33.715
26.11.2014,26.11.2014,94.96,26.11.2014,33.62
25.11.2014,25.11.2014,95.58,25.11.2014,33.865
24.11.2014,24.11.2014,94.57,24.11.2014,33.73
21.11.2014,21.11.2014,93.95,21.11.2014,33.63
20.11.2014,20.11.2014,93.259,20.11.2014,32.9
19.11.2014,19.11.2014,91.09,19.11.2014,31.1
18.11.2014,18.11.2014,91.35,18.11.2014,31.285
17.11.2014,17.11.2014,91.23,17.11.2014,30.12
14.11.2014,14.11.2014,91.17,14.11.2014,29.44
13.11.2014,13.11.2014,90.54,13.11.2014,29.465
12.11.2014,12.11.2014,88.84,12.11.2014,29.325
11.11.2014,11.11.2014,87.44,11.11.2014,29.6
10.11.2014,10.11.2014,87.71,10.11.2014,29.45
07.11.2014,07.11.2014,87.72,07.11.2014,28.6
06.11.2014,06.11.2014,87.48,06.11.2014,28.645
05.11.2014,05.11.2014,87.45,05.11.2014,28.575
04.11.2014,04.11.2014,85.88,04.11.2014,28.18
03.11.2014,03.11.2014,87.99,03.11.2014,28.625
31.10.2014,31.10.2014,85.9,31.10.2014,28.555
30.10.2014,30.10.2014,84.7,30.10.2014,28.155
29.10.2014,29.10.2014,83.75,29.10.2014,28.35
28.10.2014,28.10.2014,83.43,28.10.2014,28.335
27.10.2014,27.10.2014,82.72,27.10.2014,28.04
24.10.2014,24.10.2014,82.76,24.10.2014,28.8
23.10.2014,23.10.2014,82.92,23.10.2014,29.145
22.10.2014,22.10.2014,81.99,22.10.2014,29.305
21.10.2014,21.10.2014,80.28,21.10.2014,28.61
20.10.2014,20.10.2014,77.84,20.10.2014,28.48
17.10.2014,17.10.2014,77.16,17.10.2014,28.905
16.10.2014,16.10.2014,75.83,16.10.2014,27.615
15.10.2014,15.10.2014,76.64,15.10.2014,27.735
14.10.2014,14.10.2014,79.01,14.10.2014,28.69
13.10.2014,13.10.2014,79.63,13.10.2014,28.425
10.10.2014,10.10.2014,80.19,10.10.2014,29.03
09.10.2014,09.10.2014,80.5,09.10.2014,29.27
08.10.2014,08.10.2014,78.18,08.10.2014,29.085
07.10.2014,07.10.2014,78.63,07.10.2014,29.675
06.10.2014,06.10.2014,79.65,06.10.2014,29.435
02.10.2014,02.10.2014,77.83,02.10.2014,28.795
01.10.2014,01.10.2014,79.22,01.10.2014,29.505
30.09.2014,30.09.2014,80.41,30.09.2014,29.255
29.09.2014,29.09.2014,78.79,29.09.2014,28.92
26.09.2014,26.09.2014,78.35,26.09.2014,28.625
25.09.2014,25.09.2014,77.55,25.09.2014,28.815
24.09.2014,24.09.2014,79.72,24.09.2014,28.305
23.09.2014,23.09.2014,79.37,23.09.2014,28.02
22.09.2014,22.09.2014,78.93,22.09.2014,28.505
19.09.2014,19.09.2014,79.04,19.09.2014,28.76
18.09.2014,18.09.2014,79.02,18.09.2014,28.8
17.09.2014,17.09.2014,77.84,17.09.2014,28.56
16.09.2014,16.09.2014,77.12,16.09.2014,28.56
15.09.2014,15.09.2014,79.08,15.09.2014,29.125
12.09.2014,12.09.2014,78.7,12.09.2014,29.34
11.09.2014,11.09.2014,77.3,11.09.2014,28.66
10.09.2014,10.09.2014,76.89,10.09.2014,28.445
09.09.2014,09.09.2014,77.04,09.09.2014,28.565
08.09.2014,08.09.2014,76.47,08.09.2014,28.85
05.09.2014,05.09.2014,76.2,05.09.2014,28.975
04.09.2014,04.09.2014,76.96,04.09.2014,29.33
03.09.2014,03.09.2014,75.71,03.09.2014,28.715
02.09.2014,02.09.2014,78.9,02.09.2014,28.62
01.09.2014,01.09.2014,78.79,01.09.2014,28.7
29.08.2014,29.08.2014,78.06,29.08.2014,28.435
28.08.2014,28.08.2014,77.72,28.08.2014,28.75
27.08.2014,27.08.2014,76.87,27.08.2014,29.07
26.08.2014,26.08.2014,76.66,26.08.2014,29.055
25.08.2014,25.08.2014,77.29,25.08.2014,29.115
22.08.2014,22.08.2014,76.51,22.08.2014,28.7
21.08.2014,21.08.2014,75.61,21.08.2014,28.295
20.08.2014,20.08.2014,75.78,20.08.2014,28.135
19.08.2014,19.08.2014,74.95,19.08.2014,28.59
18.08.2014,18.08.2014,74.14,18.08.2014,27.515
15.08.2014,15.08.2014,72.47,15.08.2014,27.035
14.08.2014,14.08.2014,72.74,14.08.2014,27.31
13.08.2014,13.08.2014,72.37,13.08.2014,27.32
12.08.2014,12.08.2014,72.03,12.08.2014,27.905
11.08.2014,11.08.2014,71.66,11.08.2014,28.1
08.08.2014,08.08.2014,70.15,08.08.2014,27.38
07.08.2014,07.08.2014,71.98,07.08.2014,27.405
06.08.2014,06.08.2014,71.25,06.08.2014,27.4
05.08.2014,05.08.2014,71.05,05.08.2014,27.6
04.08.2014,04.08.2014,71.39,04.08.2014,26.645
01.08.2014,01.08.2014,70.93,01.08.2014,27.15
31.07.2014,31.07.2014,71.7,31.07.2014,27.825
30.07.2014,30.07.2014,73.48,30.07.2014,28.74
29.07.2014,29.07.2014,73.28,29.07.2014,30.045
28.07.2014,28.07.2014,73.18,28.07.2014,29.48
25.07.2014,25.07.2014,72.12,25.07.2014,29.62
24.07.2014,24.07.2014,72.07,24.07.2014,30.075
23.07.2014,23.07.2014,72.41,23.07.2014,29.79
22.07.2014,22.07.2014,69.92,22.07.2014,29.615
21.07.2014,21.07.2014,69.6,21.07.2014,29.18
18.07.2014,18.07.2014,69.46,18.07.2014,29.555
17.07.2014,17.07.2014,69.72,17.07.2014,29.995
16.07.2014,16.07.2014,71.26,16.07.2014,30.12
15.07.2014,15.07.2014,70.55,15.07.2014,29.85
14.07.2014,14.07.2014,70.87,14.07.2014,30.425
11.07.2014,11.07.2014,70.13,11.07.2014,30.145
10.07.2014,10.07.2014,69.739,10.07.2014,29.945
09.07.2014,09.07.2014,70.15,09.07.2014,31.265
08.07.2014,08.07.2014,69.59,08.07.2014,31.74
07.07.2014,07.07.2014,70.0,07.07.2014,32.455
04.07.2014,04.07.2014,69.09,04.07.2014,32.92
03.07.2014,03.07.2014,68.88,03.07.2014,32.995
02.07.2014,02.07.2014,68.5,02.07.2014,32.91
01.07.2014,01.07.2014,68.55,01.07.2014,32.455
30.06.2014,30.06.2014,67.72,30.06.2014,31.53
27.06.2014,27.06.2014,67.07,27.06.2014,31.46
26.06.2014,26.06.2014,66.38,26.06.2014,31.455
25.06.2014,25.06.2014,66.33,25.06.2014,31.615
24.06.2014,24.06.2014,67.37,24.06.2014,31.63
23.06.2014,23.06.2014,66.89,23.06.2014,31.16
20.06.2014,20.06.2014,68.18,20.06.2014,31.99
19.06.2014,19.06.2014,67.37,19.06.2014,32.16
18.06.2014,18.06.2014,67.44,18.06.2014,32.14
17.06.2014,17.06.2014,67.89,17.06.2014,31.895
16.06.2014,16.06.2014,67.65,16.06.2014,31.925
13.06.2014,13.06.2014,67.9,13.06.2014,32.1
12.06.2014,12.06.2014,68.83,12.06.2014,32.845
11.06.2014,11.06.2014,69.69,11.06.2014,32.46
10.06.2014,10.06.2014,69.57,10.06.2014,32.745
09.06.2014,09.06.2014,68.36,09.06.2014,32.795
06.06.2014,06.06.2014,67.9928,06.06.2014,32.8
05.06.2014,05.06.2014,67.6428,05.06.2014,32.835
04.06.2014,04.06.2014,67.6214,04.06.2014,32.67
03.06.2014,03.06.2014,66.4071,03.06.2014,32.57
02.06.2014,02.06.2014,66.1928,02.06.2014,32.485
30.05.2014,30.05.2014,67.3785,30.05.2014,32.0
29.05.2014,29.05.2014,65.9499,29.05.2014,31.975
28.05.2014,28.05.2014,65.9999,28.05.2014,32.185
27.05.2014,27.05.2014,65.0285,27.05.2014,32.06
26.05.2014,26.05.2014,64.7856,26.05.2014,31.37
23.05.2014,23.05.2014,63.7214,23.05.2014,31.045
22.05.2014,22.05.2014,63.4285,22.05.2014,30.775
21.05.2014,21.05.2014,63.1071,21.05.2014,30.095
20.05.2014,20.05.2014,63.0571,20.05.2014,29.98
19.05.2014,19.05.2014,63.1071,19.05.2014,29.7
16.05.2014,16.05.2014,61.2071,16.05.2014,29.745
15.05.2014,15.05.2014,61.4428,15.05.2014,30.305
14.05.2014,14.05.2014,61.9499,14.05.2014,30.855
13.05.2014,13.05.2014,61.8071,13.05.2014,30.745
12.05.2014,12.05.2014,61.3499,12.05.2014,31.0
09.05.2014,09.05.2014,60.3642,09.05.2014,30.235
08.05.2014,08.05.2014,61.0428,08.05.2014,30.49
07.05.2014,07.05.2014,60.7785,07.05.2014,30.295
06.05.2014,06.05.2014,61.4214,06.05.2014,30.335
05.05.2014,05.05.2014,61.4285,05.05.2014,30.49
02.05.2014,02.05.2014,60.7571,02.05.2014,30.395
30.04.2014,30.04.2014,61.4928,30.04.2014,30.215
29.04.2014,29.04.2014,61.4071,29.04.2014,29.285
28.04.2014,28.04.2014,60.6571,28.04.2014,29.06
25.04.2014,25.04.2014,58.7142,25.04.2014,29.765
24.04.2014,24.04.2014,58.5928,24.04.2014,30.475
23.04.2014,23.04.2014,54.6928,23.04.2014,30.69
22.04.2014,22.04.2014,54.9357,22.04.2014,30.71
17.04.2014,17.04.2014,53.9999,17.04.2014,30.17
16.04.2014,16.04.2014,53.4642,16.04.2014,29.815
15.04.2014,15.04.2014,53.3071,15.04.2014,28.6
14.04.2014,14.04.2014,53.6999,14.04.2014,28.75
11.04.2014,11.04.2014,53.6785,11.04.2014,29.4
10.04.2014,10.04.2014,54.2357,10.04.2014,29.855
09.04.2014,09.04.2014,54.5571,09.04.2014,30.05
08.04.2014,08.04.2014,54.2285,08.04.2014,28.405
07.04.2014,07.04.2014,54.7714,07.04.2014,29.0
04.04.2014,04.04.2014,55.7285,04.04.2014,30.945
03.04.2014,03.04.2014,56.2499,03.04.2014,30.92
02.04.2014,02.04.2014,56.2285,02.04.2014,30.75
01.04.2014,01.04.2014,55.7142,01.04.2014,30.13
31.03.2014,31.03.2014,55.6428,31.03.2014,30.12
28.03.2014,28.03.2014,55.8928,28.03.2014,30.21
27.03.2014,27.03.2014,55.8571,27.03.2014,29.99
26.03.2014,26.03.2014,56.5071,26.03.2014,30.18
25.03.2014,25.03.2014,56.0285,25.03.2014,30.055
24.03.2014,24.03.2014,55.5214,24.03.2014,29.725
21.03.2014,21.03.2014,54.8571,21.03.2014,31.115
20.03.2014,20.03.2014,54.8357,20.03.2014,31.075
19.03.2014,19.03.2014,54.9285,19.03.2014,31.65
18.03.2014,18.03.2014,54.2499,18.03.2014,31.88
17.03.2014,17.03.2014,54.3214,17.03.2014,31.625
14.03.2014,14.03.2014,53.9642,14.03.2014,31.08
13.03.2014,13.03.2014,54.7285,13.03.2014,31.305
12.03.2014,12.03.2014,55.0142,12.03.2014,32.515
11.03.2014,11.03.2014,55.4357,11.03.2014,33.2
10.03.2014,10.03.2014,54.7857,10.03.2014,32.81
07.03.2014,07.03.2014,54.3714,07.03.2014,33.055
06.03.2014,06.03.2014,54.9428,06.03.2014,33.575
05.03.2014,05.03.2014,55.2071,05.03.2014,33.095
04.03.2014,04.03.2014,55.2928,04.03.2014,33.14
03.03.2014,03.03.2014,54.5071,03.03.2014,32.49
28.02.2014,28.02.2014,54.6857,28.02.2014,33.99
27.02.2014,27.02.2014,54.3714,27.02.2014,32.8
26.02.2014,26.02.2014,54.2285,26.02.2014,32.88
25.02.2014,25.02.2014,54.6285,25.02.2014,33.935
24.02.2014,24.02.2014,54.6928,24.02.2014,33.905
21.02.2014,21.02.2014,54.8285,21.02.2014,33.5
20.02.2014,20.02.2014,55.4214,20.02.2014,33.765
19.02.2014,19.02.2014,56.0357,19.02.2014,33.51
18.02.2014,18.02.2014,56.9999,18.02.2014,33.04
17.02.2014,17.02.2014,56.8714,17.02.2014,33.49
14.02.2014,14.02.2014,56.8142,14.02.2014,33.13
13.02.2014,13.02.2014,56.6499,13.02.2014,32.85
12.02.2014,12.02.2014,56.4714,12.02.2014,33.0
11.02.2014,11.02.2014,56.0142,11.02.2014,32.45
10.02.2014,10.02.2014,55.3785,10.02.2014,32.355
07.02.2014,07.02.2014,54.5642,07.02.2014,32.49
06.02.2014,06.02.2014,53.7428,06.02.2014,32.825
05.02.2014,05.02.2014,53.9785,05.02.2014,32.28
04.02.2014,04.02.2014,53.7642,04.02.2014,32.15
03.02.2014,03.02.2014,53.3355,03.02.2014,32.6
31.01.2014,31.01.2014,52.4785,31.01.2014,32.47
30.01.2014,30.01.2014,52.6714,30.01.2014,32.305
29.01.2014,29.01.2014,52.7142,29.01.2014,32.06
28.01.2014,28.01.2014,53.0785,28.01.2014,32.215
27.01.2014,27.01.2014,57.5499,27.01.2014,31.13
24.01.2014,24.01.2014,57.4071,24.01.2014,32.695
23.01.2014,23.01.2014,57.0928,23.01.2014,33.04
22.01.2014,22.01.2014,58.4928,22.01.2014,33.0
21.01.2014,21.01.2014,57.3071,21.01.2014,32.12
20.01.2014,20.01.2014,57.4285,20.01.2014,30.54
17.01.2014,17.01.2014,57.7499,17.01.2014,30.705
16.01.2014,16.01.2014,58.3571,16.01.2014,30.25
15.01.2014,15.01.2014,58.6428,15.01.2014,30.21
14.01.2014,14.01.2014,56.8571,14.01.2014,28.76
13.01.2014,13.01.2014,56.7357,13.01.2014,28.515
10.01.2014,10.01.2014,55.6428,10.01.2014,28.75
09.01.2014,09.01.2014,56.7498,09.01.2014,28.4
08.01.2014,08.01.2014,57.2214,08.01.2014,28.62
07.01.2014,07.01.2014,56.8499,07.01.2014,28.72
06.01.2014,06.01.2014,56.6499,06.01.2014,28.75
03.01.2014,03.01.2014,57.3214,03.01.2014,28.84
02.01.2014,02.01.2014,57.8714,02.01.2014,28.385
30.12.2013,30.12.2013,57.7714,30.12.2013,28.715
27.12.2013,27.12.2013,58.0571,27.12.2013,28.675
23.12.2013,23.12.2013,59.2357,23.12.2013,28.51
20.12.2013,20.12.2013,57.5285,20.12.2013,28.42
19.12.2013,19.12.2013,57.2642,19.12.2013,28.275
18.12.2013,18.12.2013,56.5499,18.12.2013,27.77
17.12.2013,17.12.2013,57.5642,17.12.2013,27.025
16.12.2013,16.12.2013,58.3499,16.12.2013,26.635
13.12.2013,13.12.2013,57.7928,13.12.2013,26.375
12.12.2013,12.12.2013,58.4285,12.12.2013,26.39
11.12.2013,11.12.2013,58.6428,11.12.2013,26.605
10.12.2013,10.12.2013,58.7357,10.12.2013,26.88
09.12.2013,09.12.2013,59.1499,09.12.2013,26.9
06.12.2013,06.12.2013,58.7999,06.12.2013,26.635
05.12.2013,05.12.2013,59.7714,05.12.2013,26.56
04.12.2013,04.12.2013,59.5071,04.12.2013,26.64
03.12.2013,03.12.2013,58.8928,03.12.2013,26.97
02.12.2013,02.12.2013,58.6071,02.12.2013,27.475
29.11.2013,29.11.2013,58.2571,29.11.2013,27.545
28.11.2013,28.11.2013,57.6999,28.11.2013,27.475
27.11.2013,27.11.2013,57.3142,27.11.2013,27.465
26.11.2013,26.11.2013,55.7785,26.11.2013,27.41
25.11.2013,25.11.2013,55.5428,25.11.2013,27.14
22.11.2013,22.11.2013,54.8857,22.11.2013,26.5
21.11.2013,21.11.2013,54.6928,21.11.2013,26.895
20.11.2013,20.11.2013,55.0499,20.11.2013,26.605
19.11.2013,19.11.2013,54.9142,19.11.2013,28.06
18.11.2013,18.11.2013,55.2571,18.11.2013,28.545
15.11.2013,15.11.2013,55.6642,15.11.2013,28.445
